iteration,total_energy,average_temp,potential_energy
0,-7337.18,414.593,-7443.24
1,-7327.16,432.11,-7439.25
2,-7317.55,448.842,-7434.72
3,-7308.45,464.523,-7426.96
4,-7298.11,481.818,-7422.34
5,-7288.63,496.941,-7416.74
6,-7280.44,510.821,-7414.07
7,-7270.75,527.831,-7407.62
8,-7262.95,540.731,-7401.09
9,-7253.59,555.385,-7400.43
10,-7245.79,567.835,-7394.08
11,-7237.48,580.555,-7389.41
12,-7229.08,593.959,-7383.14
13,-7220.88,608.146,-7378.71
14,-7212.88,621.601,-7375.91
15,-7205.12,634.401,-7375.41
16,-7197.4,643.214,-7363.98
17,-7189.61,654.12,-7362.07
18,-7181.19,665.037,-7353.51
19,-7173.54,676.044,-7351.01
20,-7166.27,684.197,-7344.11
21,-7159.22,698,-7339.86
22,-7150.36,709.785,-7339.51
23,-7143.15,717.513,-7334.73
24,-7136.23,730.555,-7328.68
25,-7127.72,737.993,-7317.87
26,-7121.25,746.576,-7317.95
27,-7113.37,755.847,-7310.34
28,-7106.62,767.99,-7304.68
29,-7098.86,773.521,-7304.03
30,-7091.66,779.908,-7296.55
31,-7083.24,787.898,-7295.71
32,-7076.28,790.514,-7284.34
33,-7068.89,798.918,-7278.79
34,-7060.76,802.094,-7275.63
35,-7054,808.073,-7263.87
36,-7045.32,807.111,-7258.8
37,-7037.26,819.699,-7257.46
38,-7029.43,815.354,-7244.9
39,-7021.4,821.126,-7234
40,-7013.92,818.633,-7231.13
41,-7004.19,823.649,-7220.39
42,-6995.39,822.99,-7206.47
43,-6988.22,816.416,-7201.31
44,-6977.46,824.611,-7190.62
45,-6969.49,834.082,-7189.53
46,-6959.78,835.366,-7180.33
47,-6950.49,831.192,-7169.48
48,-6940.28,834.082,-7154.46
49,-6930.8,837.688,-7155.27
50,-6920.66,850.687,-7144.16
51,-6910.79,858.467,-7132.96
52,-6902.81,876.093,-7133.78
53,-6892.56,885.16,-7125.63
54,-6883.82,897.636,-7123.2
55,-6873.94,911.918,-7116.8
56,-6866.48,923.156,-7110.5
57,-6856.22,939.398,-7107.65
58,-6847.14,947.94,-7092.27
59,-6838.26,950.167,-7089.31
60,-6830.01,967.21,-7081.59
61,-6822.07,977.803,-7079.38
62,-6812.51,994.335,-7074.89
63,-6805.07,1003.81,-7065.31
64,-6796.97,1020.25,-7066.33
65,-6789.73,1025.55,-7059.09
66,-6781.65,1034.53,-7050.11
67,-6773.07,1045.52,-7048.59
68,-6766.79,1061.14,-7038.64
69,-6758.35,1066.91,-7040.32
70,-6750.23,1080.92,-7034.35
71,-6744.36,1086.52,-7030.45
72,-6735.64,1099.75,-7027.76
73,-6727.6,1108.81,-7011.79
74,-6721.08,1119.46,-7023
75,-6713.82,1128.51,-7013.78
76,-6707.71,1136.83,-7009.13
77,-6700.98,1141.55,-7001.36
78,-6692.8,1155.58,-6998.29
79,-6685.95,1170.11,-6989.48
80,-6678.34,1181.06,-6989.56
81,-6674.12,1183.15,-6994.7
82,-6666.71,1195.11,-6980.36
83,-6660.6,1203.11,-6979.43
84,-6654.38,1215.15,-6969.58
85,-6648.29,1222.13,-6977.81
86,-6642.4,1226.43,-6969.05
87,-6636.54,1233.96,-6965.39
88,-6629.85,1241.12,-6965.83
89,-6623.54,1257.31,-6964.26
90,-6618.73,1265.33,-6954.24
91,-6610.95,1270.62,-6940.66
92,-6605.97,1279.4,-6950.35
93,-6599.72,1283.69,-6930.24
94,-6595.8,1294.97,-6929.52
95,-6588.67,1295.82,-6932.3
96,-6583.37,1301.81,-6929.14
97,-6578.53,1313.65,-6923.82
98,-6573.64,1323.58,-6918.18
99,-6567.35,1333.43,-6914.73
100,-6563.26,1342.51,-6922.86
101,-6557.11,1344.78,-6904.54
102,-6551.54,1353.15,-6903.57
103,-6546.16,1358.29,-6910.81
104,-6541.21,1372.51,-6895.71
105,-6537.36,1371.76,-6900.27
106,-6531.2,1390.32,-6898.15
107,-6527.54,1390.92,-6894.7
108,-6523.03,1389.87,-6894.25
109,-6518.3,1399.77,-6886.43
110,-6513.52,1408.75,-6882.12
111,-6509.65,1417.6,-6880.59
112,-6505.59,1427.31,-6886.6
113,-6500.24,1435.08,-6872.63
114,-6496,1439.32,-6873.86
115,-6491.19,1435.29,-6869.79
116,-6488.12,1451.34,-6876.32
117,-6483.26,1454.97,-6872.38
118,-6477.56,1455.14,-6857.81
119,-6474.77,1458.83,-6854.17
120,-6470.63,1472.07,-6866.13
121,-6466.7,1480.08,-6857.19
122,-6461.72,1481.88,-6852.7
123,-6456.67,1496.29,-6858.39
124,-6454.79,1490.35,-6847.58
125,-6450.82,1499.41,-6843.94
126,-6446.87,1503.2,-6836.99
127,-6442.21,1504.87,-6831.72
128,-6439.04,1506.31,-6838.68
129,-6436.73,1516.93,-6827.94
130,-6432.2,1513.79,-6842.7
131,-6428.69,1532.72,-6829.6
132,-6424.79,1528.87,-6821.62
133,-6420.91,1533.7,-6832.27
134,-6417.12,1540.94,-6831.41
135,-6414.65,1542.63,-6819.49
136,-6411.22,1559.75,-6815.47
137,-6407.83,1552.15,-6817.8
138,-6404.46,1554.74,-6814.07
139,-6400.07,1567.9,-6813.23
140,-6398.66,1574.47,-6814.98
141,-6393.96,1570.5,-6803.51
142,-6390.56,1591.47,-6809.16
143,-6388.07,1575,-6812.27
144,-6384.87,1584.31,-6806.16
145,-6382.61,1593.17,-6800.56
146,-6377.93,1594.38,-6806.1
147,-6375.42,1604.69,-6806.92
148,-6372.04,1599.76,-6793.99
149,-6370.93,1609.69,-6795.03
150,-6367.89,1606.66,-6791.62
151,-6364.5,1614.69,-6790.29
152,-6359.87,1621.28,-6781.77
153,-6357.47,1626.53,-6794.65
154,-6355.08,1629.95,-6789.43
155,-6353.26,1634.12,-6784.19
156,-6349.82,1633.49,-6766.22
157,-6346.5,1651.98,-6778.42
158,-6344.36,1638.68,-6773.59
159,-6341.62,1655.98,-6782.04
160,-6338.15,1649.99,-6782.06
161,-6336.78,1666.01,-6781.07
162,-6332.45,1653.01,-6764.33
163,-6328.86,1673.3,-6768.22
164,-6326.61,1665.57,-6764.02
165,-6325.77,1682.25,-6767.12
166,-6323.85,1680.46,-6773.25
167,-6317.71,1685.47,-6763.61
168,-6317.03,1685.65,-6757.23
169,-6315.77,1689.93,-6754.99
170,-6312.95,1693.11,-6746.79
171,-6311.94,1696.03,-6753.69
172,-6308,1692.58,-6764.32
173,-6305.68,1706.29,-6760.93
174,-6303.74,1705.23,-6750.87
175,-6301.5,1707.22,-6747.22
176,-6299.43,1713.76,-6746.38
177,-6298.18,1719.69,-6744.27
178,-6295.18,1723.58,-6752.43
179,-6292.27,1731.87,-6741.66
180,-6292.04,1728.53,-6752.57
181,-6288.84,1742.74,-6742.2
182,-6286.86,1734.04,-6755.03
183,-6284.77,1743.72,-6749.16
184,-6282.68,1732.35,-6735.92
185,-6281.09,1733.3,-6736.81
186,-6279.75,1744.89,-6728.04
187,-6278.02,1752.09,-6731.77
188,-6274.41,1741.5,-6737.88
189,-6273.23,1760.51,-6726.67
190,-6271.44,1743.07,-6726.36
191,-6268.87,1776.32,-6732.9
192,-6266.75,1757.88,-6742.46
193,-6266.22,1765.76,-6719.25
194,-6263.1,1770.7,-6734.28
195,-6260.95,1768.44,-6729.68
196,-6260.29,1776.79,-6724.85
197,-6257.4,1781.71,-6717.4
198,-6256.45,1782.33,-6742.95
199,-6253.89,1783.16,-6720.52
200,-6253.7,1791.17,-6717.69
201,-6250.6,1785.32,-6723.91
202,-6249.06,1795.42,-6727.88
203,-6247.1,1786.06,-6713.18
204,-6245.7,1797.76,-6713.99
205,-6242.49,1798.05,-6719.92
206,-6241.9,1798.85,-6704.8
