iteration,total_energy,average_temp,potential_energy
0,-3263.78,42.4963,-3312.91
1,-3259.06,44.3635,-3311.31
2,-3254.01,46.1912,-3308.48
3,-3248.91,48.0235,-3305.62
4,-3244.75,49.6914,-3302.29
5,-3239.8,51.5396,-3297.56
6,-3235.61,53.1743,-3298.47
7,-3230.72,54.7085,-3294.33
8,-3226.33,56.2178,-3290.62
9,-3221.95,57.8257,-3287.68
10,-3217.58,59.3589,-3286.14
11,-3213.38,60.9792,-3285.33
12,-3209.39,62.0438,-3282.1
13,-3204.69,63.8272,-3279.95
14,-3200.46,64.6351,-3273.87
15,-3196.83,65.7303,-3273.08
16,-3192.66,66.9732,-3275.26
17,-3188.26,68.2891,-3269.52
18,-3183.5,69.1781,-3264.19
19,-3179.52,70.3994,-3260.02
20,-3175.25,71.1537,-3258.09
21,-3171.3,71.4256,-3256.66
22,-3167.63,72.5993,-3250.83
23,-3163.31,73.2496,-3250.47
24,-3158.74,73.9966,-3244.59
25,-3154.45,75.5515,-3243.99
26,-3150.74,76.1331,-3240.24
27,-3146.01,76.5442,-3234.96
28,-3141.72,76.077,-3230.34
29,-3136.79,76.9359,-3229.15
30,-3133.2,78.175,-3224.66
31,-3128.27,77.4675,-3219.56
32,-3124.21,77.8963,-3220.11
33,-3119.48,78.686,-3212.87
34,-3114.49,78.7844,-3210.11
35,-3110.07,78.8535,-3203.48
36,-3104.67,79.0613,-3196.48
37,-3100.34,80.4973,-3196.85
38,-3095.34,81.8975,-3188.33
39,-3090.98,82.5898,-3190.84
40,-3086.07,84.4034,-3185.48
41,-3081.82,85.7755,-3180.94
42,-3076.84,87.4063,-3180.87
43,-3072.81,89.1624,-3180.16
44,-3067.99,89.6024,-3173.31
45,-3063.05,91.0057,-3171.55
46,-3059.29,93.1442,-3169.74
47,-3055.96,93.7037,-3164.7
48,-3051.04,94.8762,-3161.82
49,-3047.09,96.4032,-3163.01
50,-3042.88,98.0199,-3158.14
51,-3038.59,97.9356,-3158.21
52,-3034.5,99.1147,-3151.31
53,-3030.29,100.391,-3150.33
54,-3026.34,102.214,-3149.62
55,-3023.06,103.732,-3147.62
56,-3019.25,104.202,-3141.48
57,-3015.38,104.608,-3142.71
58,-3011.64,106.067,-3140.1
59,-3007.26,107.577,-3136.23
60,-3004.02,108.284,-3132.29
61,-3000.73,110.873,-3129.63
62,-2996.32,111.149,-3129.3
63,-2992.69,111.883,-3123.91
64,-2989.44,113.475,-3130.06
65,-2986.44,114.687,-3122.25
66,-2982.56,115.172,-3123.35
67,-2979.77,116.087,-3121.85
68,-2975.95,118.555,-3114.97
69,-2973.3,117.953,-3113.67
70,-2969.94,120.105,-3110.85
71,-2966.55,120.711,-3104.83
