iteration,total_energy,average_temp,potential_energy
0,-1069.74,513.822,-1089.46
1,-1066.64,545.793,-1087.48
2,-1063.28,581.252,-1085.89
3,-1060.41,606.777,-1085.44
4,-1057.12,626.868,-1082.3
5,-1053.86,645.753,-1078.76
6,-1051.06,679.265,-1076.91
7,-1047.73,702.183,-1076.22
8,-1044.68,729.188,-1072.82
9,-1041.47,743.667,-1070.02
10,-1038.58,733.487,-1067.19
11,-1035.4,736.251,-1063.51
12,-1032.36,761.379,-1061.89
13,-1029.2,766.458,-1057.75
14,-1026.32,792.801,-1060.02
15,-1023.19,832.108,-1055.49
16,-1020.35,859.139,-1052.46
17,-1017.21,873.559,-1050.31
18,-1013.79,906.724,-1049.75
19,-1010.65,933.998,-1050.13
20,-1007.47,946.344,-1046.73
21,-1004.88,973.119,-1041.42
22,-1001.92,1014.25,-1042.73
23,-998.297,1057.66,-1041.67
24,-995.348,1090.33,-1038.25
25,-992.489,1103.65,-1035.81
