iteration,total_energy,potential_energy
0,-3342.86,-3342.86
10,-3342.85,-3343.64
20,-3343.57,-3345.01
30,-3344.78,-3346.55
40,-3346.21,-3348.09
50,-3347.68,-3349.55
60,-3349.11,-3350.9
70,-3350.45,-3352.16
80,-3351.7,-3353.32
90,-3352.85,-3354.39
100,-3353.93,-3355.39
110,-3354.92,-3356.31
120,-3355.84,-3357.17
130,-3356.7,-3357.97
140,-3357.51,-3358.72
150,-3358.26,-3359.43
160,-3358.96,-3360.09
170,-3359.63,-3360.72
180,-3360.25,-3361.3
190,-3360.84,-3361.86
200,-3361.4,-3362.39
210,-3361.92,-3362.89
220,-3362.42,-3363.37
230,-3362.9,-3363.82
240,-3363.36,-3364.26
250,-3363.8,-3364.68
260,-3364.21,-3365.08
270,-3364.62,-3365.47
280,-3365,-3365.84
290,-3365.37,-3366.2
300,-3365.73,-3366.54
310,-3366.07,-3366.87
320,-3366.41,-3367.19
330,-3366.73,-3367.5
340,-3367.04,-3367.8
350,-3367.33,-3368.09
360,-3367.62,-3368.37
370,-3367.9,-3368.64
380,-3368.17,-3368.89
390,-3368.43,-3369.14
400,-3368.68,-3369.39
410,-3368.92,-3369.62
420,-3369.15,-3369.84
430,-3369.37,-3370.06
440,-3369.59,-3370.26
450,-3369.79,-3370.46
460,-3369.99,-3370.66
470,-3370.18,-3370.84
480,-3370.37,-3371.02
490,-3370.55,-3371.19
500,-3370.71,-3371.35
510,-3370.88,-3371.51
520,-3371.03,-3371.66
530,-3371.18,-3371.8
540,-3371.32,-3371.93
550,-3371.46,-3372.07
560,-3371.59,-3372.19
570,-3371.72,-3372.31
580,-3371.83,-3372.42
590,-3371.95,-3372.53
600,-3372.05,-3372.63
610,-3372.15,-3372.72
620,-3372.25,-3372.81
630,-3372.34,-3372.9
640,-3372.42,-3372.98
650,-3372.5,-3373.05
660,-3372.58,-3373.12
670,-3372.65,-3373.19
680,-3372.71,-3373.25
690,-3372.77,-3373.3
700,-3372.83,-3373.36
710,-3372.88,-3373.4
720,-3372.93,-3373.45
730,-3372.97,-3373.48
740,-3373.01,-3373.52
750,-3373.04,-3373.55
760,-3373.07,-3373.57
770,-3373.09,-3373.59
780,-3373.12,-3373.61
790,-3373.13,-3373.63
800,-3373.15,-3373.64
810,-3373.16,-3373.64
820,-3373.16,-3373.65
830,-3373.17,-3373.65
840,-3373.17,-3373.64
850,-3373.16,-3373.64
860,-3373.16,-3373.62
870,-3373.15,-3373.61
880,-3373.13,-3373.59
890,-3373.11,-3373.57
900,-3373.09,-3373.55
910,-3373.07,-3373.53
920,-3373.05,-3373.5
930,-3373.02,-3373.47
940,-3372.99,-3373.43
950,-3372.95,-3373.39
960,-3372.91,-3373.36
970,-3372.87,-3373.31
980,-3372.83,-3373.27
990,-3372.79,-3373.22
1000,-3372.74,-3373.17
1010,-3372.69,-3373.12
1020,-3372.64,-3373.07
1030,-3372.59,-3373.02
1040,-3372.54,-3372.96
1050,-3372.48,-3372.9
1060,-3372.42,-3372.84
1070,-3372.36,-3372.78
1080,-3372.3,-3372.72
1090,-3372.24,-3372.66
1100,-3372.18,-3372.6
1110,-3372.12,-3372.54
1120,-3372.06,-3372.48
1130,-3372,-3372.42
